Abreviatura,Nombre,URL,URL,vencida,Esta en wikidata,URL Wikidata
 3dmet	Three-Dimensional Structure Database of Natural Metabolites	 http://www.3dmet.dna.affrc.go.jp/	NO	SI	https://www.wikidata.org/wiki/Q23948774	
 4dn.biosource	4DNucleome Data Portal	 https://data.4dnucleome.org/	NO	SI	https://www.wikidata.org/wiki/Q110613621	
 4dn.replicate	4D Nucleome Data Portal Experiment Replicate	 https://data.4dnucleome.org/experiment-set-replicates/	desconocido	NO	por definir	
 aao	Amphibian gross Anatomy Ontology	 http://github.com/seger/aao	SI	NO	por definir	
 abcd	ABCD database	 https://web.expasy.org/abcd/	desconocido	NO	por definir	
 abm	Applied Biological Materials cell line products	 https://www.abmgood.com/Cell-Biology.html	desconocido	NO	por definir	
 abs	Annotated regulatory Binding Sites from Orthologous Promoters	 http://genome.crg.es/datasets/abs2005/	NO	NO	por definir	
 ac	Activity Streams	 http://www.w3.org/ns/activitystreams	desconocido	NO	por definir	
 aceview.worm	Aceview Worm	 https://www.ncbi.nlm.nih.gov/IEB/Research/Acembly/index.html?worm	NO	NO	por definir	
 addexbio	AddexBio cell line products	 https://www.addexbio.com/productshow?id=4	desconocido	NO	por definir	
 addgene	Addgene	 http://addgene.org/	NO	NO	por definir	
 adw	Animal natural history and life history	 https://animaldiversity.org/	NO	NO	por definir	
 aeo	Anatomical Entity Ontology	 https://github.com/obophenotype/human-developmental-anatomy-ontology/	NO	NO	por definir	
 aero	Adverse Event Reporting ontology	 http://purl.obolibrary.org/obo/aero	SI	NO	por definir	
 affy.probeset	Affymetrix Probeset	 http://www.affymetrix.com/	NO	NO	por definir	
 afo	Agriculture and Forestry Ontology	 https://www.allotrope.org/	desconocido	NO	por definir	
 aftol.taxonomy	Assembling the Fungal Tree of Life - Taxonomy	 http://aftol.org/data.php	NO	NO	por definir	
 agricola	Agricultural Online Access	 http://agricola.nal.usda.gov/	NO	NO	por definir	
 agro	Agronomy Ontology	 https://github.com/AgriculturalSemantics/agro	NO	NO	por definir	
 agrovoc	AGROVOC	 https://data.apps.fao.org/catalog/organization/agrovoc	desconocido	NO	por definir	
 aism	Ontology for the Anatomy of the Insect SkeletoMuscular system	 https://github.com/insect-morphology/aism	NO	NO	por definir	
 allergome	Allergome	 http://www.allergome.org/	NO	NO	por definir	
 alzforum.mutation	Alzforum Mutations	 https://www.alzforum.org/mutations	desconocido	NO	por definir	
 amoebadb	AmoebaDB	 http://amoebadb.org/amoeba/	NO	NO	por definir	
 amphx	The Amphioxus Development and Anatomy Ontology	 https://github.com/EBISPOT/amphx_ontology	NO	NO	por definir	
 antibodyregistry	Antibody Registry	 http://antibodyregistry.org/	NO	NO	por definir	
 antweb	AntWeb	 http://www.antweb.org/	NO	NO	por definir	
 aop	AOPWiki	 https://aopwiki.org/	NO	NO	por definir	
