abreviatura	nombre	Esta en wikidata	urlWikidata
3dmet	Three-Dimensional Structure Database of Natural Metabolites	SI	https://www.wikidata.org/wiki/Q23948774 
4dn.biosource	4DNucleome Data Portal	SI	https://www.wikidata.org/wiki/Q110613621 
4dn.replicate	4D Nucleome Data Portal Experiment Replicate	NO	Por definir 
aao	Amphibian gross Anatomy Ontology	NO	Por definir 
abcd	ABCD database	NO	Por definir 
abm	Applied Biological Materials cell line products	NO	Por definir 
abs	Annotated regulatory Binding Sites from Orthologous Promoters	NO	Por definir 
ac	Activity Streams	NO	Por definir 
aceview.worm	Aceview Worm	NO	Por definir 
addexbio	AddexBio cell line products	NO	Por definir 
addgene	Addgene	NO	Por definir 
adw	Animal natural history and life history	NO	Por definir 
aeo	Anatomical Entity Ontology	NO	Por definir 
aero	Adverse Event Reporting ontology	NO	Por definir 
affy.probeset	Affymetrix Probeset	NO	Por definir 
afo	Agriculture and Forestry Ontology	NO	Por definir 
aftol.taxonomy	Assembling the Fungal Tree of Life - Taxonomy	NO	Por definir 
agricola	Agricultural Online Access	NO	Por definir 
agro	Agronomy Ontology	NO	Por definir 
agrovoc	AGROVOC	NO	Por definir 
aism	Ontology for the Anatomy of the Insect SkeletoMuscular system	NO	Por definir 
allergome	Allergome	NO	Por definir 
alzforum.mutation	Alzforum Mutations	NO	Por definir 
amoebadb	AmoebaDB	NO	Por definir 
amphx	The Amphioxus Development and Anatomy Ontology	NO	Por definir 
antibodyregistry	Antibody Registry	NO	Por definir 
antweb	AntWeb	NO	Por definir 
aop	AOPWiki	NO	Por definir 
aop.events	AOPWiki (Key Event)	NO	Por definir 
aop.relationships	AOPWiki (Key Event Relationship)	NO	Por definir 
aop.stressor	AOPWiki (Stressor)	NO	Por definir 
apaonto	Psychology Ontology	NO	Por definir 
apd	Antimicrobial Peptide Database	NO	Por definir 
aphidbase.transcript	AphidBase Transcript	NO	Por definir 
apid.interactions	APID Interactomes	NO	Por definir 
apo	Ascomycete Phenotype Ontology	NO	Por definir 
apollosv	Apollo-SV	NO	Por definir 
arachnoserver	ArachnoServer: Spider toxin database	NO	Por definir 
araport	Arabidopsis Information Portal	NO	Por definir 
ardb	Antibiotic Resistance Genes Database	NO	Por definir 
ark	Archival Resource Key	NO	Por definir 
aro	Antibiotic Resistance Ontology	NO	Por definir 
arrayexpress	ArrayExpress	NO	Por definir 
arrayexpress.platform	ArrayExpress Platform	NO	Por definir 
arraymap	arrayMap - Genomic Array Data for Cancer CNV Profiles	NO	Por definir 
arxiv	arXiv	NO	Por definir 
asap	A Systematic Annotation Package	NO	Por definir 
ascl	Astrophysics Source Code Library	NO	Por definir 
asin	Amazon Standard Identification Number	NO	Por definir 
aspgd.locus	AspGD Locus	NO	Por definir 
aspgd.protein	AspGD Protein	NO	Por definir 
asrp	Arabidopsis Small RNA Project	NO	Por definir 
assembly	Assembly	NO	Por definir 
atc	Anatomical Therapeutic Chemical Classification	SI	https://www.wikidata.org/wiki/por definir 
atcc	American Type Culture Collection database	NO	Por definir 
atcvet	Anatomical Therapeutic Chemical Vetinary	NO	Por definir 
atfdb.family	Animal TFDB Family	NO	Por definir 
ato	Amphibian Taxonomy Ontology	NO	Por definir 
atol	Animal Trait Ontology for Livestock	NO	Por definir 
autdb	AutDB	NO	Por definir 
bacdive	Bacterial Diversity Metadatabase	NO	Por definir 
bacmap.biog	BacMap Biography	NO	Por definir 
bacmap.map	BacMap Map	NO	Por definir 
bactibase	Bactibase: database dedicated to bacteriocins	NO	Por definir 
bams	Brain Architecture Knowledge Management System Neuroanatomical Ontology	NO	Por definir 
bao	BioAssay Ontology	NO	Por definir 
bbkg	Blue Brain Project Knowledge Graph	NO	Por definir 
bbtp	Blue Brain Project Topological sampling Knowledge Graph	NO	Por definir 
bcgo	Beta Cell Genomics Ontology	NO	Por definir 
bcio	Brain-Computer Interaction (BCI) Ontology	NO	Por definir 
bco	Biological Collections Ontology	NO	Por definir 
bcrc	BCRC Strain Collection Catalog	NO	Por definir 
bcrj	Banco de Celulas do Rio de Janeiro	NO	Por definir 
bdgp.est	BDGP EST	NO	Por definir 
bdgp.insertion	BDGP insertion DB	NO	Por definir 
bdsc	Bloomington Drosophila Stock Center	NO	Por definir 
beetlebase	BeetleBase	NO	Por definir 
begdb	The Benchmark Energy & Geometry Database	NO	Por definir 
beiresources	BEI Resources	NO	Por definir 
bel	Biological Expression Language	NO	Por definir 
bfo	Basic Formal Ontology	NO	Por definir 
bgee.family	Bgee family	NO	Por definir 
bgee.gene	Bgee gene	NO	Por definir 
bgee.organ	Bgee organ	NO	Por definir 
bgee.stage	Bgee stage	NO	Por definir 
bigg.compartment	BiGG Compartment	NO	Por definir 
bigg.metabolite	BiGG Metabolite	NO	Por definir 
bigg.model	BiGG Model	NO	Por definir 
bigg.reaction	BiGG Reaction	NO	Por definir 
bila	Bilateria anatomy	NO	Por definir 
bindingdb	BindingDB database of measured binding affinities	NO	Por definir 
biocarta.pathway	BioCarta Pathway	NO	Por definir 
biocatalogue.service	BioCatalogue Service	NO	Por definir 
biocyc	BioCyc	NO	Por definir 
biogrid	Biological General Repository for Interaction Datasets	NO	Por definir 
biogrid.interaction	BioGRID Interactions	NO	Por definir 
biolegend	BioLegend	NO	Por definir 
biolink	Biolink Model	NO	Por definir 
biominder	Bio-MINDER Tissue Database	NO	Por definir 
biomodels.db	BioModels Database	NO	Por definir 
biomodels.kisao	Kinetic Simulation Algorithm Ontology	NO	Por definir 
biomodels.teddy	TErminology for the Description of DYnamics	NO	Por definir 
biomodels.vocabulary	SBML RDF Vocabulary	NO	Por definir 
bionumbers	BioNumbers	NO	Por definir 
bioportal	BioPortal	NO	Por definir 
bioproject	NCBI BioProject	NO	Por definir 
bioregistry	Bioregistry	NO	Por definir 
bioregistry.collection	Bioregistry Collections	NO	Por definir 
bioregistry.registry	Bioregistry Metaregistry	NO	Por definir 
bioregistry.schema	Bioregistry Schema	NO	Por definir 
biorxiv	bioRxiv	NO	Por definir 
biosample	NCBI BioSample	NO	Por definir 
biosimulations	biosimulations	NO	Por definir 
biosimulators	BioSimulators	NO	Por definir 
biostudies	BioStudies	NO	Por definir 
biosystems	NCBI BioSystems Database	NO	Por definir 
biotools	bio.tools	NO	Por definir 
biozil	BIOZIL	NO	Por definir 
birnlex	Biomedical Informatics Research Network Project Lexicon	NO	Por definir 
bitbucket	Bitbucket	NO	Por definir 
bitterdb.cpd	BitterDB Compound	NO	Por definir 
bitterdb.rec	BitterDB Receptor	NO	Por definir 
bko	SBGN Bricks data and ontology	NO	Por definir 
bmrb	Biological Magnetic Resonance Data Bank	NO	Por definir 
bmrb.restraint	NMR Restraints Grid	NO	Por definir 
bold.taxonomy	BOLD Taxonomy	NO	Por definir 
bootstrep	Gene Regulation Ontology	NO	Por definir 
bpdb	Bio-Pesticides DataBase	NO	Por definir 
brenda	BRENDA Enzyme Database	NO	Por definir 
broad	Broad Fungal Genome Initiative	NO	Por definir 
bs	Biosapiens Protein Feature Ontology	NO	Por definir 
bspo	Biological SPatial Ontology	NO	Por definir 
bto	BRENDA tissue / enzyme source	SI	https://www.wikidata.org/wiki/Q4836352 
bugbase.expt	BugBase Expt	NO	Por definir 
bugbase.protocol	BugBase Protocol	NO	Por definir 
bykdb	Bacterial protein tYrosine Kinase database	NO	Por definir 
cabri	Common Access to Biological Resources and Information	NO	Por definir 
cadsr	Cancer Data Standards Registry and Repository	NO	Por definir 
caloha	CALIPHO Group Ontology of Human Anatomy	NO	Por definir 
cameo	Continuously Automated Model Evaluation	NO	Por definir 
caps	CAPS-DB	NO	Por definir 
caro	Common Anatomy Reference Ontology	NO	Por definir 
cas	CAS Registry Number	SI	https://www.wikidata.org/wiki/por definir 
cath	CATH	NO	Por definir 
cath.domain	CATH domain	NO	Por definir 
cath.superfamily	CATH superfamily	NO	Por definir 
cattleqtldb	Animal Genome Cattle QTL	NO	Por definir 
cazy	The Carbohydrate-Active enZYmes Database	NO	Por definir 
cba	Chinese Biological Abstracts	NO	Por definir 
cbioportal	cBioPortal for Cancer Genomics	NO	Por definir 
ccdc	CCDC Number	NO	Por definir 
ccds	The Consensus CDS	NO	Por definir 
ccle	Cancer Cell Line Encyclopedia Cells	NO	Por definir 
cco	Cell Cycle Ontology	NO	Por definir 
ccrid	National Experimental Cell Resource Sharing Platform	NO	Por definir 
cdao	Comparative Data Analysis Ontology	NO	Por definir 
cdd	Canadian Disaster Database	NO	Por definir 
cdno	Compositional Dietary Nutrition Ontology	NO	Por definir 
cdpd	Canadian Drug Product Database	NO	Por definir 
cell_biolabs	Cell Biolabs cell line products	NO	Por definir 
cell_model_passport	Sanger Cell Model Passports	NO	Por definir 
cellbank.australia	CellBank Australia	NO	Por definir 
cellimage	Cell Image Library	NO	Por definir 
cellopub	Cellosaurus Publication	NO	Por definir 
cellosaurus	Cellosaurus	SI	https://www.wikidata.org/wiki/Q24691710 
cellosaurus.resource	Cellosaurus Registry	NO	Por definir 
cellrepo	Cell Version Control Repository	NO	Por definir 
ceph	Cephalopod Ontology	NO	Por definir 
cgd	Candida Genome Database	NO	Por definir 
cghdb	CGH Data Base	NO	Por definir 
cgnc	Chicken Gene Nomenclature Consortium	NO	Por definir 
cgsc	Coli Genetic Stock Center	NO	Por definir 
charprot	CharProt	NO	Por definir 
chebi	Chemical Entities of Biological Interest	SI	https://www.wikidata.org/wiki/Q902623 
chembl	ChEMBL	NO	Por definir 
chembl.cell	ChEMBL database of bioactive drug-like small molecules - Cell lines section	NO	Por definir 
chembl.compound	ChEMBL compound	SI	https://www.wikidata.org/wiki/Q6120337 
chembl.target	ChEMBL target	NO	Por definir 
chemdb	The UC Irvine ChemDB	NO	Por definir 
chemidplus	ChemIDplus	NO	Por definir 
cheminf	CHEMical INFormation Ontology	NO	Por definir 
chemspider	ChemSpider	SI	https://www.wikidata.org/wiki/Q2311683 
chickenqtldb	Animal Genome Chicken QTL	NO	Por definir 
